x,y
-151.27986408766145,12.41541878278234
-150.85074490561934,12.15429659733797
-150.42158677445516,11.893082803825271
-149.99256659070673,11.631847765923768
-149.5635490362434,11.370427568680597
-149.13472645474454,11.108904179339934
-148.70599038120508,10.847133845297115
-148.2774957687858,10.585170484360784
-147.84915032462266,10.322882486668396
-147.42110342694733,10.060319593652643
-146.99326833166546,9.797354366040498
-146.56578886663698,9.534032386998529
-146.138610655743,9.270250512033181
-145.71176544109323,9.005970220233731
-145.28536173879607,8.741210602316675
-144.85932609856897,8.475854205650494
-144.43378719166853,8.20993525069988
-144.0086827649911,7.94334469272823
-143.58413244181085,7.676109967583157
-143.160074832097,7.408122682937393
-142.73663080335092,7.139411213502309
-142.31374165163524,6.869869187757215
-141.8915253783566,6.599522834828344
-141.469922568373,6.3282652545900255
-141.04905031311608,6.05612199882604
-140.6288568969933,5.782991950454907
-140.20945009401674,5.508893674258221
-139.79080223653605,5.233744102743982
-139.372944482358,4.957504311362872
-138.95596039572527,4.680174701643345
-138.53980924433318,4.401662405878005
-138.12459062195774,4.12197985781199
-137.710264908946,3.8410350286725485
-137.296930085939,3.5588391458583857
-136.88455073159008,3.2753033350204857
-136.4732201209263,2.9904352962674805
-136.06290721545508,2.704149447735777
-135.6536992731125,2.4164489778443263
-135.24556980381874,2.1272517208772133
-134.83860614469023,1.8365609276651746
-134.43279650962882,1.5443054692856237
-134.0281673660414,1.2504429224104783
-133.6247944253609,0.95496781675905
-133.2226494676533,0.6577966944041141
-132.821819317265,0.35893242727189345
-132.42227710500146,0.05829257430177415
-132.02410976326718,-0.24411990822836582
-131.6272906439518,-0.5483872921816549
-131.23190494338914,-0.8545079207425076
-130.83792702753772,-1.1625633017615926
-130.4454440201054,-1.4725503290616615
-130.05442734233847,-1.784552716900004
-129.6649667695432,-2.098565366004671
-129.27704560390626,-2.4146630720552724
-128.890702573915,-2.732879038467594
-128.5059906945975,-3.053235747955925
-128.12289956431465,-3.3758032705315744
-127.7414996376492,-3.700591001256486
-127.36182224493305,-4.027637693118572
-126.98385367302795,-4.357015898674373
-126.60766872891688,-4.6887317445005845
-126.23325863142914,-5.022854080975232
-125.86068246193618,-5.359400833974107
-125.48996071732728,-5.69841888284339
-125.12112492791857,-6.039946827539938
-124.75522448877678,-6.383259471764289
-124.40576607133912,-6.718283772928686
-124.06397113763597,-7.05169873079514
-123.7255157354054,-7.386748242575155
-123.39028274799256,-7.723324894965004
-123.05806999634622,-8.061391259609374
-122.72874903407416,-8.400847266700847
-122.40208990178745,-8.74168188469111
-122.07792251483134,-9.08382986766617
-121.75604231797004,-9.427258186300065
-121.4362523052045,-9.77192652903039
-121.11839455400343,-10.11775567409993
-120.8021504615956,-10.464831495696426
-120.48739659590339,-10.813032885706948
-120.17385403826466,-11.162408929880424
-119.86125623950282,-11.512994737324988
-119.54942983389671,-11.864716714764752
-119.23806700148842,-12.217663213894705
-118.9269465807528,-12.571814789651693
-118.61575490565808,-12.927270859222485
-118.30425343363007,-13.284031099011301
-117.99214120815928,-13.642180831068762
-117.67911034262893,-14.001815209594834
-117.3649023526648,-14.362956894820112
-117.04916348028058,-14.725773203972063
-116.73163058142566,-15.09028902488365
-116.4119318283216,-15.456706177153613
-116.08974356138933,-15.825145211879324
-115.76473707518268,-16.195735508285175
-115.43655401010336,-16.568660281999787
-115.10483039296699,-16.9441133320112
-114.76922092101483,-17.32225187409452
-114.4293194130609,-17.703357205097962
-114.08478888082846,-18.087563769142363
-113.73512509250638,-18.47537597229896
-113.38017150571451,-18.866495339638487
-113.01942943577373,-19.261448050716965
-112.65987421643119,-19.64182957034587
-112.30541499657217,-19.996900247726952
-111.95299380674699,-20.330732355187628
-111.60143821866798,-20.64402571566827
-111.24891925611493,-20.93848776493024
-110.89424991566618,-21.21497415730383
-110.53631742029727,-21.474254890512324
-110.1742033616483,-21.716904367565622
-109.80716728315822,-21.943340818296228
-109.43456956529621,-22.153905482231647
-109.05586445261368,-22.34887758109875
-108.6705557230771,-22.52850826056804
-108.27812793764592,-22.69305788856113
-107.87811117252743,-22.842768695151285
-107.46990212169175,-22.977925784592276
-107.05280144765996,-23.098838044798153
-106.62597318048527,-23.205838458714148
-106.18835412686326,-23.29928426359808
-105.73863118170755,-23.3795422286224
-105.27498171122257,-23.446963783305577
-104.79577843691355,-23.501919632618414
-104.29577018184925,-23.544171695736157
-103.76793583334974,-23.573057894918843
-103.23370797933903,-23.596656783013632
-102.70045297144146,-23.618413404569978
-102.16774164841036,-23.639226734127252
-101.63475393295055,-23.659867707527557
-101.12243662614394,-23.68822143258356
-100.63829611706662,-23.72777459351443
-100.16826744313029,-23.775655494263987
-99.71166505716026,-23.832204125733394
-99.26679251393426,-23.89757114158398
-98.83266241863944,-23.97200309297777
-98.40830726925668,-24.05574820170493
-97.99300403989425,-24.14906278916703
-97.5861383547235,-24.252201271487042
-97.18719844955363,-24.365411056433796
-96.79583246147408,-24.48892045606608
-96.41171792913933,-24.62295275011802
-96.03465913660217,-24.767702851490704
-95.66455738993659,-24.92333873413559
-95.30124406221573,-25.090051662585136
-94.94478799932455,-25.26794020392436
-94.59507497495667,-25.457185297245257
-94.25219177153376,-25.657864892947
-93.9162110729507,-25.870065091322495
-93.58716405221092,-26.09389888120575
-93.26511817588326,-26.329453040911943
-92.95021712361269,-26.57675320581929
-92.6424492278226,-26.835963132692356
-92.34196869678235,-27.107083320370073
-92.04880386577186,-27.390251373267944
-91.76301854663906,-27.685562090222497
-91.48463150788601,-27.9931705930129
-91.2136267238335,-28.313283888635333
-90.95003911319886,-28.64602400638431
-90.69377316173048,-28.991757857628905
-90.44478921422376,-29.35073331202107
-90.20293414529894,-29.72347579201392
-89.96811132168264,-30.110349693924324
-89.74010262660059,-30.51213134742971
-89.51876161494769,-30.929299167674092
-89.30368929610997,-31.363677574566058
-89.09497427125596,-31.8134915842126
-88.89144637043182,-32.29179753492097
-88.69258130730009,-32.79126373259584
-88.49782919786846,-33.29244894539589
-88.3067452200439,-33.79353869958484
-88.1188945383253,-34.29452444907215
-87.93384544435406,-34.79594631004981
-87.75112366945618,-35.29048424475324
-87.5702418523626,-35.768713586279
-87.39065818531826,-36.2379935180234
-87.21200160561514,-36.699444875199916
-87.03392833799565,-37.153666496491205
-86.85609678504844,-37.601229032420115
-86.67817908108555,-38.04256896379246
-86.49984147513635,-38.47816891728759
-86.32076317765487,-38.90842675209613
-86.14062411009772,-39.33373634337638
-85.95912211931477,-39.75440380485526
-85.77596066904995,-40.17071086019409
-85.59080408431485,-40.58309173265192
-85.40342761548816,-40.99158918631813
-85.21351688076108,-41.39653475123762
-85.02078105928096,-41.79819023054582
-84.82502205477202,-42.19656398979717
-84.62595096387315,-42.591894691566345
-84.4232820306539,-42.98441356393603
-84.21684903598214,-43.37408797375403
-84.00636814594758,-43.76112863018364
-83.79166296934285,-44.14553737573468
-83.57249267238389,-44.52743402226887
-83.34865877896566,-44.90689349154826
-83.11998817112327,-45.28394932066895
-82.88626872907957,-45.65869528176588
-82.64736917738236,-46.031106848295174
-82.4030748005165,-46.40127530137863
-82.1532685985664,-46.76916317935948
-81.89773243951822,-47.134859602033636
-81.6363793676856,-47.49829762931323
-81.36897544673863,-47.859576608295214
-81.09542663444005,-48.2186453397891
-80.81553301508328,-48.57556102499757
-80.52925102701374,-48.93022855093731
-80.23631433296104,-49.282759284371195
-79.93657067662754,-49.6331640199989
-79.63005305111699,-49.9812982544103
-79.31641214258835,-50.32732214064635
-78.99562065883417,-50.67115208227762
-78.66745937002442,-51.01284239917972
-78.33182786450396,-51.352366440573384
-77.98853911216706,-51.68975348157845
-77.63744343078295,-52.02500997932375
-77.27838238294427,-52.35814744536435
-76.91110162861388,-52.68922962020533
-76.53389118819194,-53.01906662823418
-76.13858473807078,-53.35157925361438
-75.7383636040051,-53.680987169730926
-75.33633262733412,-54.00603930973025
-74.93239032347334,-54.3269265184352
-74.526632523174,-54.64375092047781
-74.11910222565344,-54.956638397180456
-73.70985552925048,-55.26570893974151
-73.29894836884307,-55.571082612860906
-72.88643101531643,-55.87288202809479
-72.47235804802474,-56.17122785962831
-72.05679511135948,-56.46623580614705
-71.6397790141045,-56.758034532257874
-71.22137479161326,-57.04674001006043
-70.80163452772437,-57.33247403541863
-70.3806123724357,-57.61535747513061
-69.95836386393952,-57.89551057178167
-69.53493994958843,-58.17305563226353
-69.11040657865252,-58.44810821772216
-68.68478733350337,-58.72080293988352
-68.25817518318784,-58.99124320961072
-67.83061347932887,-59.259554748323595
