time,x_act,y_act,x_ref,y_ref,yaw_act,v_act,v_ref,steer_cmd_rad,steer_act_rad,lateral_error,heading_error,throttle,brake,curvature
0.0,84.3255615234375,0.5922992825508118,84.07042386591499,0.4922971204200377,1.8877487182617188,13.275399208068848,15.5,0.03487886334835946,0.25208956003189087,0.24096778391454765,-0.06279522882104249,1.0,0.0,0.0008791038957583448
0.04994988441467285,84.14350128173828,1.2406458854675293,83.94197817097722,0.9885783157744081,1.835269808769226,13.418937683105469,15.5,-0.019134255348619726,0.09992058575153351,0.25515617229362375,-0.010151746549436957,1.0,0.0,0.0009604995177639379
0.1000826358795166,83.96756744384766,1.9061418771743774,83.68680826143634,1.9705206992862279,1.7916232347488403,13.59349536895752,15.5,-0.06058798658721187,-0.05481560528278351,0.2763695713433324,0.03153806872216203,1.0,0.0,-0.0011873460070244675
0.1499495506286621,83.87350463867188,2.2789273262023926,83.5606981263831,2.4568244617216113,1.7769663333892822,13.64696979522705,15.5,-0.07317481868622125,-0.17357179522514343,0.29283015398581425,0.04403905511155726,1.0,0.0,-0.0027424496348880233
0.1999061107635498,83.87350463867188,2.2789273262023926,83.5606981263831,2.4568244617216113,1.7769663333892822,13.64696979522705,15.5,-0.07317481868622125,-0.17357179522514343,0.29283015398581425,0.04403905511155726,1.0,0.0,-0.0027424496348880233
0.25005102157592773,83.87350463867188,2.2789273262023926,83.5606981263831,2.4568244617216113,1.7769663333892822,13.64696979522705,15.5,-0.07317481868622125,-0.17357179522514343,0.29283015398581425,0.04403905511155726,1.0,0.0,-0.0027424496348880233
0.29990267753601074,83.87350463867188,2.2789273262023926,83.5606981263831,2.4568244617216113,1.7769663333892822,13.64696979522705,15.5,-0.07317481868622125,-0.17357179522514343,0.29283015398581425,0.04403905511155726,1.0,0.0,-0.0027424496348880233
0.3499472141265869,83.17948150634766,5.2447428703308105,82.84374624580505,5.3328929174632815,1.777372121810913,14.079060554504395,15.5,-0.03435356507564074,-0.17357179522514343,0.32058236029840936,0.013523303535256215,1.0,0.0,-0.012777940910151851
0.3998873233795166,83.01858520507812,5.941044807434082,82.73364129247507,5.809215620831915,1.783796787261963,14.138907432556152,10.0,-0.017085721022105205,-0.09841571748256683,0.3098401076700442,-0.0007628132375891994,0.0,1.0,-0.014448791980812805
0.45024728775024414,82.89374542236328,6.482817649841309,82.62698447794536,6.285950631159708,1.7865136861801147,14.147773742675781,10.0,-0.003129139253971982,-0.048946984112262726,0.30101703546855463,-0.012109842806405702,0.0,1.0,-0.016073168595889368
0.5001242160797119,82.70355224609375,7.317507743835449,82.42512754634585,7.242760718291312,1.7866297960281372,13.441027641296387,10.0,0.020476324134580847,-0.008964323438704014,0.27738173302771374,-0.03165902104671048,0.0,1.0,-0.01909768794251464
0.5500767230987549,82.63997650146484,7.599512100219727,82.3304700979928,7.723949596590338,1.7866523265838623,12.99096965789795,10.0,0.033528163243016745,0.058660347014665604,0.260080222362585,-0.042400373919437406,0.0,1.0,-0.020452341518087818
0.5999350547790527,82.63997650146484,7.599512100219727,82.3304700979928,7.723949596590338,1.7866523265838623,12.99096965789795,10.0,0.033528163243016745,0.058660347014665604,0.260080222362585,-0.042400373919437406,0.0,1.0,-0.020452341518087818
0.6499409675598145,82.63997650146484,7.599512100219727,82.3304700979928,7.723949596590338,1.7866523265838623,12.99096965789795,10.0,0.033528163243016745,0.058660347014665604,0.260080222362585,-0.042400373919437406,0.0,1.0,-0.020452341518087818
0.6999399662017822,82.63997650146484,7.599512100219727,82.3304700979928,7.723949596590338,1.7866523265838623,12.99096965789795,10.0,0.033528163243016745,0.058660347014665604,0.260080222362585,-0.042400373919437406,0.0,1.0,-0.020452341518087818
0.7500834465026855,82.16368865966797,9.76801872253418,81.9995465243182,9.681858282884006,1.786635160446167,6.713179111480713,10.0,0.08483373465860125,0.09605111181735992,0.1394802463567827,-0.09060617409201654,1.0,0.0,-0.024370735858499297
0.7998762130737305,82.1010513305664,10.057022094726562,81.9298732052544,10.18316232967539,1.7866569757461548,5.340759754180908,10.0,0.10260904261285682,0.24303074181079865,0.09394126696886493,-0.10314666253032279,1.0,0.0,-0.02479113652233496
0.8500094413757324,82.049560546875,10.294265747070312,81.9298732052544,10.18316232967539,1.7866772413253784,4.576547622680664,10.0,0.09823678717429803,0.2939532399177551,0.09445161361087168,-0.10316692810954642,1.0,0.0,-0.02479113652233496
0.9000518321990967,82.00321197509766,10.510469436645508,81.8660479108824,10.690148951139484,1.7862745523452759,4.359210968017578,10.0,0.1391315160335117,0.28142765164375305,0.04243353822888868,-0.123977755599888,1.0,0.0,-0.028773394428246994
0.9499115943908691,81.99113464355469,10.571842193603516,81.8660479108824,10.690148951139484,1.785251498222351,4.443548679351807,10.0,0.13771417810125972,0.28142765164375305,0.04443063853375687,-0.12295470147696319,1.0,0.0,-0.028773394428246994
0.9999732971191406,81.99113464355469,10.571842193603516,81.8660479108824,10.690148951139484,1.785251498222351,4.443548679351807,10.0,0.13771417810125972,0.28142765164375305,0.04443063853375687,-0.12295470147696319,1.0,0.0,-0.028773394428246994
1.0499234199523926,81.99113464355469,10.571842193603516,81.8660479108824,10.690148951139484,1.785251498222351,4.443548679351807,10.0,0.13771417810125972,0.28142765164375305,0.04443063853375687,-0.12295470147696319,1.0,0.0,-0.028773394428246994
1.0999248027801514,81.99113464355469,10.571842193603516,81.8660479108824,10.690148951139484,1.785251498222351,4.443548679351807,10.0,0.13771417810125972,0.28142765164375305,0.04443063853375687,-0.12295470147696319,1.0,0.0,-0.028773394428246994
