x,y,velocity,heading,curvature
84.07042386591499,0.4922971204200377,15.5,1.824055378294388,0.0008707447129794499
83.94197817097722,0.9885783157744081,15.5,1.8249534894406763,0.0009583369223901166
83.81400388089686,1.4812137083753207,15.5,1.8251180622197893,0.0003239456898959406
83.68680826143634,1.9705206992862279,15.5,1.8245308890043064,0.0011745708756968074
83.5606981263831,2.4568244617216113,15.5,1.8231613034710024,0.002731276233418409
83.43597666793461,2.940498514246264,15.5,1.8210053885008395,0.004333686505789665
83.31294919803034,3.421893267709948,15.5,1.8180440412478411,0.005982310980761685
83.1919171669443,3.9013947027549922,15.5,1.8142573533691395,0.007668809801982256
83.07317479044386,4.379446454141817,15.5,1.8096520104333003,0.009373033086478648
82.95702210218705,4.856451326790448,15.5,1.804216476882828,0.01108391620832228
82.84374624580505,5.3328929174632815,15.5,1.7979625614951258,0.012785952160957239
82.73364129247507,5.809215620831915,15.5,1.7908954253461693,0.014461818794309566
82.62698447794536,6.285950631159708,15.5,1.7830339740243737,0.016091289728367725
82.52405790697173,6.763606104263114,15.5,1.7744038433737088,0.01765354079641139
82.42512754634585,7.242760718291312,15.418788532441088,1.765032003248333,0.019126282685562778
82.3304700979928,7.723949596590338,15.162205207062831,1.7549707749814267,0.020486014218061236
82.2403306672645,8.207827442176812,14.900242732235245,1.7442519526644247,0.02171167391684958
82.15497311310455,8.6949824997913,14.632293350851857,1.732954542719702,0.02278803786227727
82.07462501191507,9.186123847535255,14.357621157373279,1.7211030933112859,0.023660926951370613
81.9995465243182,9.681858282884006,14.075478164006435,1.7088958118902584,0.024411163360666174
81.9298732052544,10.18316232967539,13.784814958203166,1.6960289863541507,0.02484986170009847
81.8660479108824,10.690148951139484,13.485003140360998,1.683510313215832,0.028474110658935826
81.80778324035256,11.204882952504605,13.174102323671779,1.6622967967453879,0.041097371620683915
81.7611215483636,11.713420196271224,12.860256441826593,1.6305099785575035,0.058838459317856064
81.73188955814422,12.202374342089321,12.551850894369023,1.5964832514288558,0.0711299449538041
81.71964764008338,12.678851212602632,12.244297250153416,1.5597588679091299,0.07771145587471898
81.72480107151216,13.145736046086213,11.935334212474208,1.5214067574912293,0.08263824477005437
81.7476146580921,13.607271425559793,11.787726173976191,1.4823141488752019,0.08472082494682397
81.78836154628712,14.066578559610289,11.82794520825668,1.4434036876804572,0.08414564530890783
81.84733257782686,14.526979371724078,11.983888557290134,1.4056071107178114,0.08094770407833501
81.92484581195512,14.99194254030107,12.140206937631513,1.3696614612344016,0.07533586509116526
82.02144922707353,15.465739975936605,12.298495368008489,1.3363902117332442,0.06824471703108789
82.13776473863346,15.952831793500922,12.46030839330376,1.3054782613366163,0.05543611817040226
82.27555481128735,16.459927357074047,12.62787181003405,1.285891636913326,0.03223111613942027
82.42789188111318,16.980076125549292,12.798403287243618,1.2847020231867223,0.006566703985708635
82.57944868721124,17.49528768826934,12.965162942129549,1.2921864357728132,0.013825374840373003
82.72321351450144,17.997874268743782,13.125448733828756,1.3088043257850537,0.024885823743106317
82.85272395832429,18.480841702359196,13.276959306741315,1.3190203061210244,0.025548574824115437
82.97461125384856,18.954678801028084,13.423552100990122,1.331938340905361,0.025321126005804433
83.08744680889126,19.4180565439197,13.564921494253243,1.3448785848042242,0.027972478698150362
83.19208042181663,19.87329923445849,13.701970487963965,1.358788894292097,0.029921384360645432
83.28848359875307,20.321182027284397,13.835068411510933,1.3733512350208412,0.032138181334738045
83.37685415080661,20.76292100947963,13.964707328181243,1.388644681114979,0.03423209372972507
83.45726005195712,21.199451018233297,14.091275230496867,1.4046622427520061,0.036338521145445495
83.5297208358146,21.631589325477663,14.21511195747573,1.4213712031480628,0.03834587555089716
83.5942286172559,22.060077899803172,14.336524850592161,1.4386960575489744,0.04019577592753557
83.6507785417515,22.485668251514852,14.455815168143262,1.4566088217142072,0.041893267761046286
83.69932431337753,22.908959708056873,14.573233039865013,1.4750550010459356,0.04343176232751657
83.73980620961142,23.330492720693886,14.68900610491336,1.4939661068001673,0.0447664694504545
83.7721615713936,23.75079183496623,14.80335237832195,1.5132733026219745,0.04587791257230111
83.79632194916478,24.170340774894502,14.916473906441828,1.5329047342551567,0.04675782184724263
83.81221557493578,24.589589938968064,15.028559356823951,1.5527851885196933,0.04739397456307917
83.81977006797493,25.008979097541943,15.13979041747145,1.5728403469281291,0.047796368379821694
83.81891180167618,25.42886982636152,15.250324151727852,1.5930026730103433,0.0479574885851657
83.80956502412259,25.84970633164618,15.360335577072634,1.6131871718057593,0.04787143921006794
83.7916587606301,26.271862022290417,15.469977093284736,1.6333300705765494,0.04755779163442423
83.7651157304691,26.69576791642487,15.5,1.6533607141398132,0.04699485530194283
83.72985271655983,27.12189412790205,15.5,1.67318372515498,0.0462010652627189
83.68580073713021,27.5506376794502,15.5,1.6927618379041032,0.04523406936262914
83.63286543799508,27.982502038367656,15.5,1.712047707733092,0.04406936212740809
83.57092673807493,28.41808162616017,15.5,1.7309396692214487,0.04269418038749895
83.4998810768148,28.857920561614428,15.5,1.7494030582748434,0.041204647112486156
83.41959535440388,29.302641687342202,15.5,1.7674541935440524,0.03957830529332851
83.32985907894798,29.75305058043107,15.5,1.784933684645849,0.03787918746573349
83.23052473636119,30.209819836637376,15.5,1.802038652809466,0.0360726901095258
83.12121974528753,30.674050251927582,15.295285566720947,1.8184038998325083,0.034131834013699486
83.00179954036993,31.14644953385419,15.038271218316556,1.8343191175908296,0.03598863975663915
82.8718300594503,31.62817984073985,14.770454300165264,1.8561774101167634,0.035543269847584394
