Time,X,Y,V_ref,V_meas,Ey,Epsi,Steer,Throttle,Brake
0.0,-150.06546020507812,14.26259708404541,6.0,1.4026193618774414,0.20062979960167399,0.05283696377719593,-0.02184991495298326,1.0,0.0
0.16356679000000002,-149.80812072753906,14.047576904296875,6.0,2.7681844234466553,0.20044907315618277,0.05284536803210926,-0.07164452730057788,1.0,0.0
0.324056124,-149.36148071289062,13.676624298095703,6.0,4.108643054962158,0.25121683259877675,0.05278838599170399,-0.10114573510251901,1.0,0.0
0.484260874,-148.78533935546875,13.208471298217773,6.0,5.235964775085449,0.2671410754723051,0.05083337697413626,-0.09490874893846554,0.703667665892531,0.0
0.7088201670000001,-147.74371337890625,12.406001091003418,6.0,6.373445510864258,0.2887523663873008,0.022192666177403453,-0.0654529478258149,0.0,0.4141832866029992
0.877427861,-146.81341552734375,11.74117660522461,6.0,7.103819370269775,0.258065852693367,-0.017980745191920278,-0.026304679313975093,0.0,1.0
1.039444178,-145.81243896484375,11.077751159667969,6.0,6.6580424308776855,0.19783641743225364,-0.05553906237636852,0.012615180973690354,0.0,0.6209046938668985
1.200580805,-145.10289001464844,10.627304077148438,6.0,3.690868616104126,0.12339988829614398,-0.06270117450786072,0.02535067965714422,1.0,0.0
1.356448493,-144.88409423828125,10.486026763916016,6.0,0.20154809951782227,0.09005399039632668,-0.06271802460705089,0.0003308210483554079,1.0,0.0
1.5126835070000002,-144.88339233398438,10.485579490661621,6.0,0.043293893337249756,0.0900255384389183,-0.06279157673870372,0.00019132983922666747,1.0,0.0
1.6647316140000001,-144.8360595703125,10.454157829284668,6.0,0.7615655064582825,0.09029287486840852,-0.06291835581814098,0.0007777539418200912,1.0,0.0
1.8838218610000002,-144.51280212402344,10.242086410522461,6.0,2.642629384994507,0.09020605386628767,-0.06289320265804577,0.018227165435052484,1.0,0.0
2.041073989,-144.0718231201172,9.95263957977295,6.0,3.9262123107910156,0.058772578887874474,-0.06289578367305237,0.04181597457582681,1.0,0.0
2.1997017640000003,-143.47329711914062,9.55742073059082,6.0,5.0351715087890625,-0.0021104450404315044,-0.06281629519653942,0.05631381414129556,0.9049189688717352,0.0
2.3587842500000002,-142.7440948486328,9.068634033203125,6.0,6.030952453613281,-0.056437894510109374,-0.06259954858851868,0.061925568825822584,0.0,0.08355263682472794
2.5195883340000003,-141.90650939941406,8.497611999511719,6.0,6.7077836990356445,-0.10121909795164613,-0.06038100410533387,0.0641568660424028,0.0,0.7399928638873268
2.746153718,-140.55909729003906,7.558659553527832,6.0,6.763988018035889,-0.15026318608265435,-0.04824047362362194,0.062088231856546015,0.0,0.7567605605551929
2.904513654,-139.7624053955078,6.98717737197876,6.0,5.063704490661621,-0.17210038458813431,-0.04086368357693004,0.06937515630030108,1.0,0.0
3.0601695720000004,-139.38726806640625,6.718070983886719,6.0,1.4543148279190063,-0.18356391337553674,-0.04076869178843934,0.02028572190036828,1.0,0.0
3.2153996150000004,-139.34869384765625,6.691829681396484,6.0,0.01891251839697361,-0.1838277088771872,-0.04086900640559632,0.00021471849049562152,1.0,0.0
3.372574011,-139.29396057128906,6.65279483795166,6.0,0.9040552973747253,-0.1827466106231017,-0.04017264534068543,0.00786650692907637,1.0,0.0
3.5321929950000004,-139.0558319091797,6.486907958984375,6.0,2.3733458518981934,-0.2014010113777405,-0.040091523419146124,0.05219978397680155,1.0,0.0
3.694384438,-138.65574645996094,6.210239887237549,6.0,3.6832077503204346,-0.22078028436380703,-0.04003315245662975,0.08263231477570637,1.0,0.0
3.9007187770000002,-137.89358520507812,5.672555446624756,6.0,5.1331353187561035,-0.25058043391623125,-0.03889529978786754,0.08213361313574512,0.8065938976475864,0.0
4.061191914,-137.17074584960938,5.146441459655762,6.0,6.123631000518799,-0.24945746281059164,-0.031388696779017344,0.06799608801290716,0.0,0.17537429726213052
4.219611062,-136.3512725830078,4.5264506340026855,6.0,6.771566867828369,-0.24873783427378407,-0.008090087662462775,0.04592593681761141,0.0,0.8026090362159761
4.380784156000001,-135.5251007080078,3.87213397026062,6.0,6.867721080780029,-0.2266144012444175,0.017366460074658807,0.02213258238787437,0.0,0.8639689018114461
4.544402763,-134.69439697265625,3.1876766681671143,6.0,4.857169151306152,-0.16777777941807642,0.030349502210270884,0.005991282421505298,1.0,0.0
4.7635780290000005,-134.34158325195312,2.8986799716949463,6.0,0.0009273085161112249,-0.14703157169998787,0.030372717946206773,-5.4047289487524724e-05,1.0,0.0
4.921161534,-134.34132385253906,2.8985378742218018,6.0,0.01538768969476223,-0.1471189867729712,0.03022352752033397,-5.3480600977229586e-05,1.0,0.0
5.082950018,-134.30233764648438,2.867525577545166,6.0,0.7304201126098633,-0.14713533438951276,0.030653813450967515,0.0016736292915647164,1.0,0.0
5.243515733000001,-134.11460876464844,2.717670202255249,6.0,2.113189697265625,-0.14731327388607002,0.03066847619358226,0.009860670356149528,1.0,0.0
5.397708135,-133.7874755859375,2.456190347671509,6.0,3.385793924331665,-0.13202720281530214,0.03068012322067748,0.005048318961303757,1.0,0.0
5.551935329,-133.28958129882812,2.056760311126709,6.0,4.579957008361816,-0.11563303500945148,0.030746898260972433,-0.003911988848584814,1.0,0.0
5.712972925000001,-132.621337890625,1.518837571144104,6.0,5.564464092254639,-0.08208279600201317,0.030810007695805552,-0.011894342731256032,0.3844006754550816,0.0
5.928474883000001,-131.6083526611328,0.7081781029701233,6.0,6.820336818695068,-0.035426343286907844,0.03079532693790954,-0.018672023919280516,0.0,0.8687902300725763
