x,y
-151.39990265785818,12.255447717724536
-150.968687308754,11.997125015242489
-150.53742785877583,11.738705576506032
-150.10631411323283,11.480268189722551
-149.67519748278616,11.221637719618409
-149.24428458726592,10.96290558505577
-148.81345588056175,10.70391845755152
-148.38287751446558,10.444737397869194
-147.9524474104731,10.185222192990434
-147.52232573868534,9.925429422665006
-147.0924163765623,9.66522335059981
-146.66287353342605,9.404656090881065
-146.23363618887163,9.143618254207139
-145.8047368245187,8.882070615697392
-145.3762913804442,8.62003657815022
-144.94821802809182,8.357391143378443
-144.52065464578345,8.09417418242202
-144.09353153360587,7.830269804436161
-143.66697677248405,7.565710533912566
-143.2409215654118,7.300381162718294
-142.81549537534215,7.034315258063577
-142.3906323044014,6.767399792933704
-141.96645871431545,6.499666012954764
-141.54290792389463,6.23100030883497
-141.12010530583697,5.96143319001392
-140.69799256450844,5.690857345482096
-140.2766849175252,5.419295669508607
-139.85615024569856,5.146660498246565
-139.43642043709377,4.872912199235888
-139.01758431508094,4.598053864578154
-138.59959563919216,4.321987237610363
-138.18256059341283,4.044728441801893
-137.76643423447544,3.766180198243434
-137.3513208949164,3.486357245572298
-136.93718029926893,3.205165811940211
-136.5241115498134,2.922616715312254
-136.1120792564892,2.6386198537258565
-135.70117586471162,2.3531810536490423
-135.2913710683314,2.0662140313352584
-134.88275721381777,1.777724542224576
-134.47531994655532,1.4876382757415483
-134.06908617347872,1.195911884150139
-133.6641354152942,0.9025415014366465
-133.26043605899642,0.6074398694663998
-132.8580793076619,0.31061189195537064
-132.4570352695911,0.01197160591345059
-132.0573949732455,-0.2884762125082553
-131.65912905587825,-0.5908171258880375
-131.26232640721793,-0.8950479595087549
-130.86695905193082,-1.201253231619848
-130.47311758625685,-1.5094284837221128
-130.08077126436402,-1.8196603095875568
-129.69001312539987,-2.1319424140719314
-129.30082507018767,-2.4463518976477396
-128.9132468700395,-2.762922434392967
-128.52733294373382,-3.0816767068474555
-128.1430721728259,-3.4026865760982328
-127.76053689990319,-3.7259612736230507
-127.37975897610936,-4.051540414739153
-127.00072418082497,-4.379498185943119
-126.6235090214467,-4.709840690939019
-126.24810447843821,-5.042638212078362
-125.87457084221282,-5.377909021069623
-125.50292901635179,-5.715700945171569
-125.13321115529193,-6.056053369100167
-124.76647984549608,-6.398232450951513
-124.41638728856756,-6.732057196522538
-124.07401831442601,-7.0643107585138285
-123.73499889567498,-7.398274439662259
-123.39921358348397,-7.733837011964896
-123.06646102942887,-8.070957921172432
-122.73661413050758,-8.409533535955022
-122.40944348543118,-8.749549952031577
-122.08477993689182,-9.090938716418169
-121.76241958209152,-9.433663849654014
-121.44216605201623,-9.777682104950307
-121.12386213934371,-10.12291124744801
-120.80718925322745,-10.469434860846556
-120.49202468214926,-10.817128795025694
-120.17808959011518,-11.16603979195741
-119.86511754788752,-11.516200574861431
-119.55293550134319,-11.86753494099686
